answer	qid
there once was a lion.	fables-06-1
the mouse , terrified ,	fables-06-2
anything	fables-06-3
game	fables-06-4
the lion	fables-06-5
because a mouse ran into the face of the lion	fables-06-6
a trapper	fables-06-7
the lion	fables-06-8
the rope of the net	fables-06-9
a mouse running over his face	fables-06-10
in order to catch a big game	fables-06-11
the mouse	fables-06-12
the voice of the lion	fables-06-13
a net which had been spread for game by some hunters	fables-06-14
the ropes	fables-06-15
there	fables-06-16
the mouse	fables-06-17
because he thought that the mouse is extremely not able to help him	fables-06-18
the lion	fables-06-19
some net	fables-06-20
temper	fables-06-21
temper	fables-06-22
the ropes	fables-06-23
the ropes	fables-06-24
the mouse	fables-06-25
a mouse	fables-06-26
temper	fables-06-27
there once was a lion.	fables-06-28
hurricane gustav	blogs-03-1
monday	blogs-03-2
winds started kicking up.	blogs-03-3
president bush	blogs-03-4
louisiana	blogs-03-5
in order	blogs-03-6
a large group of pine trees	blogs-03-7
because it owned a group of trees	blogs-03-8
the narrator brought the family of the narrator to the house of the parent of the narrator.	blogs-03-9
the narrator	blogs-03-10
an area of a neighborhood of the narrator	blogs-03-11
split	blogs-03-12
the narrator	blogs-03-13
the first tree	blogs-03-14
my wife , our five children , and our dog ,	blogs-03-15
it	blogs-03-16
louisiana	blogs-03-17
the narrator	blogs-03-18
louisiana	blogs-03-19
the narrator	blogs-03-20
the broiler of the oven	blogs-06-1
a group of	blogs-06-2
the husband of the narrator	blogs-06-3
the door of the oven	blogs-06-4
a couple of weeks	blogs-06-5
the oven	blogs-06-6
the oven	blogs-06-7
the oven	blogs-06-8
a plug-in burner , griddle , and counter top oven	blogs-06-9
to be	blogs-06-10
the ceiling of the house	blogs-06-11
the ceiling of the house	blogs-06-12
the door of the oven	blogs-06-13
the oven	blogs-06-14
a batch of cookies	blogs-06-15
a group of	blogs-06-16
the husband of the narrator	blogs-06-17
the broiler of the oven	blogs-06-18
my new range	blogs-06-19
the range	blogs-06-20
the door of the oven	blogs-06-21
a house	blogs-06-22
a branch of a tree with a piece of cheese in her beak	fables-01-1
a branch of a tree with a piece of cheese in her beak	fables-01-2
a crow	fables-01-3
the crow	fables-01-4
a fox observed the crow and tried to discover how to get the cheese.	fables-01-5
a crow	fables-01-6
the crow	fables-01-7
a crow	fables-01-8
the beak of the crow	fables-01-9
a crow	fables-01-10
a fox	fables-01-11
the beauty of the bird	fables-01-12
loudly	fables-01-13
a fox	fables-01-14
a fox	fables-01-15
the fox	fables-01-16
the crow	fables-01-17
the crow	fables-01-18
a lion	fables-02-1
the bull	fables-02-2
there once was a fat bull.	fables-02-3
the bull	fables-02-4
a lion	fables-02-5
the bull	fables-02-6
my dear friend , what in the world makes you	fables-02-7
my dear friend , what in the world makes you	fables-02-8
the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
the bull	fables-02-11
you	fables-02-12
a lion	fables-02-13
because the lion wanted to eat the bull	fables-02-14
the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
because every horn of the bull was ugly	fables-02-16
the bull	fables-02-17
the lion	fables-02-18
there	fables-02-19
because the lion wanted to eat the bull	fables-02-20
the bull	fables-02-21
the bull	fables-02-22
the lion	fables-02-23
on eventful today	blogs-01-1
g20 summit	blogs-01-2
g20 summit happened annually.	blogs-01-3
a police car	blogs-01-4
the people	blogs-01-5
the people	blogs-01-6
a police car	blogs-01-7
the people	blogs-01-8
a police car	blogs-01-9
police cars were burned and things were thrown at cops.	blogs-01-10
the rioters	blogs-01-11
the rioters	blogs-01-12
the rioters	blogs-01-13
the police	blogs-01-14
things	blogs-01-15
because it disagreed about a view	blogs-01-16
riot	blogs-01-17
to alleviate the violence	blogs-01-18
the police	blogs-01-19
the people	blogs-01-20
the police	blogs-01-21
a summit meeting named g20 summit	blogs-01-22
g20 summit	blogs-01-23
the police	blogs-01-24
a fox	fables-04-1
a stork	fables-04-2
the fox only served some soup in a flat and large dish.	fables-04-3
a clever fox	fables-04-4
some soup	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
the long bill of the stork	fables-04-7
while she enjoyed her dinner	fables-04-8
it	fables-04-9
the stork	fables-04-10
the long bill of the stork	fables-04-11
a stork to dine	fables-04-12
some soup	fables-04-13
the stork	fables-04-14
the stork	fables-04-15
some soup	fables-04-16
the stork	fables-04-17
a group of students and a narrator	blogs-05-1
the group of students for presence	blogs-05-2
the narrator	blogs-05-3
teaching	blogs-05-4
the narrator	blogs-05-5
the slip	blogs-05-6
elastic gone what to do ?	blogs-05-7
i	blogs-05-8
the floor	blogs-05-9
the slip	blogs-05-10
that the slip had fallen because the elastic of the slip was dysfunctional	blogs-05-11
the narrator	blogs-05-12
teaching	blogs-05-13
